V,J
0.00916748028248549,0.013688325881958001
0.0667913481593132,0.01367181539535525
0.124416328966618,0.013615330060323083
0.182042345404625,0.013520866632461583
0.239868640899658,0.013272504011789915
0.297468900680542,0.012825926144917834
0.355106353759766,0.012020925680796333
0.412710666656494,0.010788808266321835
0.470340967178345,0.009142920374870333
0.527932405471802,0.006564211721221608
0.585568904876709,0.0035691233351826668
0.643193244934082,0.00013501216502239335
0.700854778289795,-0.003631984194119775
